Pelipper | PepperBird
Kingambit | HOT
Dragonite | Espresso
Great Tusk | Trouble
Ting-Lu | Ting-Moose
Amoonguss | SporeMan
Glimmora | Germe Haine
Wo-Chien | Moussu
Flutter Mane | Flutter Song
Sylveon | Paillette
Ting-Lu | Weakness policy
Azumarill | 火師姐
Flutter Mane | 振翼的髮槌
Gallade | Occam
Magnezone | Alexi
Iron Bundle | Big Gucci
Palafin | Super
Lokix | Slasher
Flutter Mane | Suffer
Arcanine | Steve
Tyranitar | Landorus Apologist
Glimmora | Amongus Hater
Flutter Mane | Gen 9 Incin
Amoonguss | Amongus
Ting-Lu | Craig
Flutter Mane | Edea
Chi-Yu | Eden
Iron Valiant | Love Wins
Chien-Pao | Bing Chiling
Talonflame | Hot Wings
Ting-Lu | The Deer
Dondozo | Bozo
Chien-Pao | Miley
Dragapult | Cannon
Palafin | Hamada
Great Tusk | Manny
Meowscarada | Meow the Scarada
Crabominable | Billy
Amoonguss | Leader
Baxcalibur | Zillagod
Iron Valiant | Love Wins
Chien-Pao | Bing Chiling
Ting-Lu | The Deer
Iron Bundle | Santa 2077
Flutter Mane | Chiyo
Amoonguss | Kikoken
Arcanine | Falcon Punch
Palafin | Totsugeki
Baxcalibur | Foot Dive
Amoonguss | Orange
Arcanine | Banana
Flutter Mane | Passionfruit
Farigiraf | Cherry
Flutter Mane | Amity
Chi-Yu | Luz
Lilligant | TT
Torkoal | Breakthrough
Dragonite | Espresso
Great Tusk | Trouble
Grimmsnarl | Harry
Corviknight | Friend
Pelipper | Gulp
Flutter Mane | La Pelos
Chi-Yu | Nemo
Chien-Pao | Cinema
Iron Hands | metal pipes
Flutter Mane | Ghost City Tokyo
Arcanine | RAD DOGS
Ceruledge | Me
Amoonguss | Amogus
Palafin | Pabafin
Chi-Yu | SnapThatChildsBack
Dragapult | drop pop candy
Chien-Pao | Cinema
Iron Hands | metal pipes
Flutter Mane | Ghost City Tokyo
Amoonguss | Cucumelo
Palafin | Flipper
Chien-Pao | Tom
Dragonite | Eragon
Chien-Pao | Cinema
Iron Hands | metal pipes
Flutter Mane | Ghost City Tokyo
Amoonguss | Awake Now
Kingambit | GaeMaroon
Grafaiai | doodler
Oranguru | Oops
Ceruledge | Also Me
Wo-Chien | Trash
Palafin | Pabafin
Grimmsnarl | Also Me
Indeedee | TE LA MAMAS
Hatterene | AITANA
Torkoal | PACO SANZ
Kingambit | ECHENIQUE
Palafin | Brieze
Amoonguss | Gillie
Hydreigon | Hydra Gone
Orthworm | Orth Germ
Flutter Mane | Flipper Brain
Palafin | Prada Fin
Gothitelle | CBD
Iron Hands | THC
Palafin | Colocon
Flutter Mane | Mota
Tatsugiri | LittleShit
Ting-Lu | SumTingWong
Flutter Mane | Gucci Mane
Arcanine | Noah’s Ark
Palafin | Your boy
Amoonguss | Among who?
Ting-Lu | Erm Kinda cringe
Pelipper | The Jordan of VGC
Amoonguss | Immovable object
Floatzel | El Nadador
Maushold | Me suis perdu
Dragonite | Alola Mon Ami
Kingambit | GAETAN REVIENT
Gholdengo | Eh Oh Sois Cool
Dragonite | Alola Mon Ami
Chien-Pao | Série 1 Clause
Garchomp | Série 1 Clause
Ting-Lu | Erm Kinda cringe
Torkoal | Volcan
Meowscarada | Simba
Mimikyu | Milk
Murkrow | Don
Chi-Yu | Chica-Mala
Great Tusk | GOAT Musk
Flutter Mane | Fluttolo
Dragapult | Sheik
Tinkaton | Marth
Umbreon | Mr. Game and Watch
Primeape | Donkey Kong
Ceruledge | Me
Amoonguss | Amogus
Palafin | Pabafin
Chi-Yu | SnapThatChildsBack
Ting-Lu | Erm Kinda cringe
Lilligant | Bubby
Torkoal | Homie
Flutter Mane | Tummy
Kingambit | Taki
Iron Valiant | Red Wine Mommy
Chi-Yu | Beverly
Chien-Pao | Tara
Palafin | Dozo
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Axew | Jaws
Shellder | Tampax
Annihilape | Tsunade
Meowscarada | Mister M
Chien-Pao | Astrumy
Kingambit | hancec
Flutter Mane | RulingWillB
Amoonguss | Whynus
Ceruledge | Ryuma
Kingambit | Mihawk
Amoonguss | Aramaki
Flutter Mane | Perona
Makuhita | Makuhammad Ali
Larvesta | Donttakemysta
Mareanie | Wretched creature
Bagon | Bag on head
Pawmi | pikapawmi
Buizel | weezil
Ceruledge | Ryuma
Kingambit | Mihawk
Gyarados | Kaido
Amoonguss | Aramaki
Hawlucha | Flying Buddy
Hariyama | High Three!
Orthworm | Waca Waca
Bruxish | Bombastic Side-eye
Iron Treads | Doohickey
Mimikyu | LVP
Drednaw | Shellman
Chi-Yu | Goldy
Flutter Mane | UU at best
Corviknight | Don Quixote
Gyarados | Karp King
Chien-Pao | Saber
Brute Bonnet | Emo
Baxcalibur | Xcalius
Iron Treads | Doohickey
Mimikyu | LVP
Hydreigon | Oblivion
Drednaw | Shellman
Masquerain | de Havilland
Coalossal | Armavee
Ting-Lu | Israfel
Amoonguss | Toad
Iron Hands | Facepalm
Talonflame | Jetstream
Torkoal | Luigi
Kingambit | Queengambit
Arcanine | INCI
Palafin | Power of Neo
Pelipper | Catch the rainbow
Barraskewda | Paint it Black
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Dondozo | Namazu
Tatsugiri | Ghost
Glimmora | Sulfera
Baxcalibur | King Arthur
Tyranitar | Tyrannis
Grimmsnarl | Tricky Rick
Iron Bundle | King-3D
Mimikyu | Remy
Iron Hands | Maradona
Amoonguss | Shrom41Mor
Pelipper | Beaker
Palafin | Torqoise
Ting-Lu | Ting-Luey
Dragonite | Espresso
Great Tusk | Trouble
Gyarados | If you wanna
Amoonguss | See some action
Garchomp | Feel like Number 1
Gyarados | If you wanna
Chi-Yu | OF ATTRACTION
Roaring Moon | So baby now you
Garchomp | Feel like Number 1
Chien-Pao | Astrumy
Kingambit | hancec
Flutter Mane | RulingWillB
Amoonguss | Whynus
Tyranitar | Mr. Boombastic
Garchomp | Stargazer
Talonflame | Blazen
Rotom | Washed
Masquerain | de Havilland
Coalossal | Armavee
Gyarados | If you wanna
Amoonguss | See some action
Flutter Mane | Gotta be center
Chi-Yu | OF ATTRACTION
Flutter Mane | Mimi
Scream Tail | JoseJose
Flutter Mane | Brujijí
Amoonguss | FunGuy
Gothitelle | Siguanaba
Gyarados | If you wanna
Chi-Yu | OF ATTRACTION
Roaring Moon | So baby now you
Garchomp | Feel like Number 1
Grimmsnarl | Orcbolg
Arcanine | Clifford
Tyranitar | Gucci Godzilla
Clawitzer | Federer
Grimmsnarl | Tricky Rick
Mimikyu | Remy
Espathra | RaRaOLaLa
Iron Bundle | Pinguiloco
Sandy Shocks | Polvoíman
Chi-Yu | Mr. Blublu
Iron Moth | MOTH(?)
Tyranitar | TT
Chien-Pao | CAT
Amoonguss | °o°
Gyarados | If you wanna
Chi-Yu | OF ATTRACTION
Roaring Moon | So baby now you
Garchomp | Feel like Number 1
Dondozo | Here I Go Again
Gothitelle | Matilda
Slowking | Oww
Gengar | Covid Related?
Flutter Mane | Flutter Pain
Ting-Lu | Israfel
Amoonguss | Toad
Arcanine | Brutus
Annihilape | Shadow
Iron Bundle | E-123 Omega
Tinkaton | Amy Rose
Jumpluff | Charmy Bee
Grimmsnarl | grime
Arcanine | soul
Iron Hands | trap
Gastrodon | blues
Arcanine | good boi
Gastrodon | GROHAHSHSHSH
Dondozo | Here I Go Again
Gothitelle | Matilda
Slowking | Oww
Gengar | Covid Related?
Bronzong | BigBen
Gyarados | If you wanna
Chi-Yu | OF ATTRACTION
Roaring Moon | So baby now you
Garchomp | Feel like Number 1
Amoonguss | Julian
Flutter Mane | Fabrizio
Murkrow | Nick
Great Tusk | Nikolai
Orthworm | Orthworm Jim
Dragonite | Huggies
Gyarados | PTSD Snek
Flutter Mane | Can't think of 1
Bronzong | BigBen
Arcanine | Charlotte
Gyarados | If you wanna
Flutter Mane | Gotta be center
Chi-Yu | OF ATTRACTION
Garchomp | Feel like Number 1
Gastrodon | Hollaback Girl
Mimikyu | Rich Girl
Chi-Yu | Luxurious
Corviknight | Exit Movie
Dragonite | Barney
Flutter Mane | Vitany
Lilligant | Fragi
Torkoal | Breakthrough
Flutter Mane | Flutter
Murkrow | Nick
Chi-Yu | Albert
Great Tusk | Nikolai
Arcanine | Karen O
Iron Bundle | Delibundle
Amoonguss | Nya
Chien-Pao | Rawr XD
Arcanine | Meow
Palafin | Uwu
Lucario | Goku
Amoonguss | venter
Gastrodon | squeeky toy
Blissey | bussy
Amoonguss | Char!zard
Roaring Moon | Charizaza
Maushold | Charizard ky&s
Gholdengo | CH4RIZARD
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Arcanine | ChiYu
Amoonguss | Fungus amungus
Annihilape | Mugen
Arcanine | Teddy
Iron Bundle | Zuggins
Corviknight | Gummi
Chi-Yu | Bonk-Yu
Iron Bundle | Iron Bonkle
Chien-Pao | Chien-Bonk
Dragonite | Bonkonite
Dragonite | Kulkulcan
Roaring Moon | peacock
Amoonguss | sus
Flutter Mane | fluttershy
Chi-Yu | Bonk-Yu
Iron Bundle | Iron Bonkle
Chien-Pao | Chien-Bonk
Dragonite | Bonkonite
Chi-Yu | Button
Ting-Lu | No Floor?
Baxcalibur | Frosty Lizard
Palafin | The Grindset
Pelipper | Make It Rain
Barraskewda | Final Gambit
Magneton | Boltz
Whiscash | The New Guy
Palafin | Strong Dolphin
Magneton | Boltz
Garganacl | Don't Be Salty
Whiscash | The New Guy
Pelipper | Make It Rain
Barraskewda | Final Gambit
Magneton | Boltz
Garganacl | Don't Be Salty
Chien-Pao | Rawr XD
Arcanine | Meow
Palafin | Uwu
Amoonguss | Nya
Chien-Pao | Rawr XD
Palafin | Uwu
Breloom | Fruit of the Loom
Roaring Moon | Salamence Light
Scizor | Skizor
Flutter Mane | La Pelos
Chi-Yu | Nemo
Ting-Lu | Bullwinkle
Farigiraf | Y amigos
Annihilape | Zoboomafoo
Iron Bundle | Iron Clauws
Chien-Pao | Saber Tooth Cat
Iron Valiant | Angry Waifu
Chi-Yu | Lava Feesh
Dugtrio | RmprdsTheorm
Abomasnow | Snow
Raichu | Chub Chub
Brute Bonnet | Oongaboongus
Azumarill | Blu-Glo
Pelipper | Toilet Bord
Breloom | BBloom
Chien-Pao | Cheems-Pao
Ting-Lu | Bowl
Breloom | BBloom
Ting-Lu | Bowl
Garchomp | Chompa
Iron Hands | Riley
Dragonite | carinho
Palafin | clark
Garchomp | Chompa
Iron Hands | Riley
Garchomp | Chompa
Talonflame | Fawkes
Iron Hands | Riley
Garchomp | Chompa
Talonflame | Fawkes
Iron Hands | Riley
Armarouge | Destined Death
Iron Jugulis | Astel Naturalborn
Chien-Pao | Maliketh
Indeedee | Deathbed Fia
Kingambit | 大酱侠
Flutter Mane | 振翼侠
Amoonguss | 盾菇侠
Palafin | Godfrey
Chien-Pao | Maliketh
Indeedee | Deathbed Fia
Chi-Yu | Radahn
Coalossal | Cole
Palafin | Willy
Chi-Yu | Smiling Snack
Iron Bundle | Boops
Chien-Pao | The Sword
Dragonite | Colorblind Dragon
Palafin | Sort of a Paladin
Arcanine | Cavall
Flutter Mane | Spectre
Chi-Yu | Thunderball
Palafin | Skyfall
Tsareena | NoTimeToDie
Palafin | Bad Dolphin
Palafin | Bad Dolphin
Toxtricity | lets wock
Ceruledge | burn baby burn
Baxcalibur | im upside down
Masquerain | de Havilland
Coalossal | Armavee
Ceruledge | Galahad
Amoonguss | Toad
Arcanine | Brutus
Bombirdier | Dropper
Iron Bundle | Neptune
Glimmora | OOB
Ceruledge | Sir Kale
Corviknight | The steels chicken
Chi-Yu | Firing Nemo
Iron Bundle | Larry
Garchomp | Pearl
Chien-Pao | Sneasel?
Palafin | Brieze
Amoonguss | Gillie
Annihilape | Kong
Maushold | The Goons
Flutter Mane | Hussy
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Chi-Yu | Thunderball
Arcanine | GoldenEye
Palafin | Skyfall
Maushold | CasinoRoyale
Arcanine | ウインディ
Dondozo | Gen3WaterLegendary
Flutter Mane | Spectre
Chi-Yu | Thunderball
Palafin | Skyfall
Tsareena | NoTimeToDie
Ting-Lu | Wickie
Amoonguss | Lui
Chi-Yu | Sam
Palafin | Bad Dolphin
Arcanine | Goodest Boi
Palafin | Bad Dolphin
Palafin | Bad Dolphin
Flutter Mane | Gucci Mane
Talonflame | Talon Childers
Garchomp | Dommy Mommy
Chien-Pao | Tara
Chi-Yu | Beverly
Hydreigon | Friends Forever
Garchomp | Dommy Mommy
Chien-Pao | Tara
Chi-Yu | Beverly
Hydreigon | Friends Forever
Palafin | Bad Dolphin
Palafin | Bad Dolphin
Chi-Yu | Beverly
Luxray | Naughty Girl
Arcanine | Goodest Boi
Palafin | Bad Dolphin
Palafin | Bad Dolphin
Palafin | Bad Dolphin
Arcanine | Goodest Boi
Palafin | Bad Dolphin
Arcanine | Goodest Boi
Palafin | Bad Dolphin
Annihilape | Ape Sh!t
Baxcalibur | Big Scarr Frozone
Talonflame | Nashville Hot CHKN
Azumarill | Azul
Skeledirge | Chomp Boi
Meowscarada | IFKYK
Kingambit | Kingg
Annihilape | MONKEEEEEE
Chi-Yu | Rengoku
Torkoal | MARIANA
Mimikyu | Tu ex
Lilligant | Mamensita
Chi-Yu | Pesce
Amoonguss | Psilocibin
Flutter Mane | capa
Orthworm | Saitama
Torkoal | Torkh
Jumpluff | Jumbp
Flutter Mane | Flutdr
Chien-Pao | Chioen
Garchomp | GawrGura
Orthworm | OrthwormJim
Hippowdon | MotoMoto
Toedscruel | Jordans
Arcanine | Aphrodite
Iron Hands | Phí11iP
Palafin | Cookie
Dragonite | Willow
Ampharos | Amphos
Farigiraf | Fridge
Sylveon | Sidai
Iron Hands | Hala
Dragalge | Leaf
Ampharos | Amphos
Palafin | Dozo
Amoonguss | WoChien
Flutter Mane | Mimi
Maushold | MouseFam
Annihilape | MonkeyPig
Amoonguss | SusShroom
Ting-Lu | Bullwinkle
Gholdengo | CAPTAIN GOLD
Coalossal | Real The Chumbeque
Dragapult | El Matadoré
Lumineon | pe’
Pawmot | pikachu der beti
Ceruledge | Blues
Garganacl | Pyramid Scheme
Grimmsnarl | TrickSnarl
Rotom | Wishy Washy
Ceruledge | Knife
Farigiraf | Ladle
Baxcalibur | Icebox
Gastrodon | Dishwasher
Ceruledge | Blues
Grimmsnarl | TrickSnarl
Rotom | Wishy Washy
Amoonguss | Amogus
Arcanine | Falcon Punch
Flutter Mane | Soul Fist
Palafin | Totsugeki
Baxcalibur | Foot Dive
Amoonguss | Shrom41Mor
Palafin | Torqoise
Baxcalibur | BlockBuster
Wo-Chien | The Stall
Toxapex | The Fall
Garganacl | The Wall
Flutter Mane | The Ball
Flutter Mane | Ol’ Reliable
Iron Bundle | Never Miss
Ting-Lu | Tis but a scatch
Amoonguss | Amogus
Ampharos | Amphos
Ceruledge | Blues
Grimmsnarl | TrickSnarl
Rotom | Wishy Washy
Sandy Shocks | Coarse & Rough
Maushold | We Are The Millers
Skeledirge | Spitfire
Sableye | I'm Sorry
Abomasnow | FOURTY-FOUR
Iron Bundle | IRON SHADY!!!
Chi-Yu | NEMO
Palafin | Delfin
Garganacl | Jonah Magnus
Dragonite | Jonathan sims
Chien-Pao | The admiral
Palafin | Fincineroar
Baxcalibur | Sonic
Flutter Mane | Ballistic Missile
Gothitelle | Get stuckd
Chi-Yu | Fish
Chien-Pao | Astrumy
Palafin | Above
Flutter Mane | RulingWillB
Amoonguss | Whynus
Tyranitar | Dark Tower
Houndstone | Pet Cemetery
Dragonite | Dragon Eyes
Chien-Pao | Chien
Amoonguss | Cucumelo
Arcanine | Arca9
Great Tusk | Tusk
Bellibolt | 奇樹蛙蛙
Scizor | 機甲勇者
Palafin | 我的超人
Mudsdale | Arthur Morgan
Flutter Mane | Ness
Amoonguss | Imposter
Chien-Pao | Diego
Dragonite | Cecilia
Volcarona | Dusk
Gyarados | Ronaldinho
Palafin | Wailad
Flutter Mane | Sasha Colby
Amoonguss | Brita
Chien-Pao | Bundle
Amoonguss | WoChien
Arcanine | ChiYu
Flutter Mane | Mimi
Amoonguss | Fungo
Arcanine | RK9
Garchomp | Garchon
Chien-Pao | Chien-Miau
Chien-Pao | Slap-Chop
Dragonite | AlanMendosa
Palafin | Slap-Chop
Flutter Mane | Graity
Gyarados | La Gamba
Chi-Yu | Nemo
Ting-Lu | Bambi
Flutter Mane | Melameneo
Amoonguss | Sus
Palafin | Torqoise
Dragonite | Willow
Chien-Pao | Hunter
Flutter Mane | Amity
Chi-Yu | Luz
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Chien-Pao | Slap-Chop
Dragonite | AlanMendosa
Palafin | Slap-Chop
Flutter Mane | Graity
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Baxcalibur | SODA!!
Abomasnow | obamna
Glimmora | Legos
Skeledirge | The Dirge
Meowscarada | Eggplant
Garganacl | Garganacci~
Grimmsnarl | Grim Shady
Kingambit | HIM
Baxcalibur | Little Foot
Sandy Shocks | Jimothy
Mudsdale | Arthur Morgan
Maushold | Steve
Flutter Mane | Ness
Iron Valiant | En Garde 17
Chi-Yu | Boop
Flutter Mane | Nacalli
Torkoal | Kompor
Gyarados | Flaccid Pancake
Breloom | Zipper Man
Flutter Mane | Spicy Lady
Toxapex | MARE CACTUS
Wo-Chien | Mirco
Abomasnow | Enzo forestieri
Toxapex | MARE CACTUS
Pawmot | #blessed
Talonflame | ★Rigel★
Espathra | ★Sirius★
Hydreigon | ★Antares★
Sandy Shocks | ★Aldebran★
Kilowattrel | Big Z
Garganacl | Zoroark!
Chi-Yu | Probably Zor
Zoroark | Zoroark!
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Gyarados | Carpa
Amoonguss | Psilocibin
Flutter Mane | capa
Talonflame | o' piccion
Magnezone | a calamita
Azumarill | o sorcio blu
Annihilape | la scimmia zozza
Gallade | King
Drifblim | Balloon Boi
Slither Wing | Slither WIN
Scovillain | Mr. Whiskers
Flutter Mane | Hannah Montana
Hawlucha | I apologise
Indeedee | But
Flutter Mane | I Will
Iron Bundle | Not be
Dondozo | Accepting
Tatsugiri | OTS
Forretress | Golden Nut
Sandy Shocks | Mike Hawk
Flutter Mane | It's Just A Phase
Arcanine | Mymuttdog
Amoonguss | WoChien
Flutter Mane | Mimi
Azumarill | Doomer
Toxapex | Sox
Gallade | Gay
Flutter Mane | Butter Spain
Azumarill | Doomer
Toxapex | Sox
Gallade | Gay
Flutter Mane | Butter Spain
Pawmot | Cherri
Flutter Mane | Utah
Indeedee | Nevada
Hatterene | New Mexico
Mudsdale | Texas
Forretress | Golden Nut
Flutter Mane | It's Just A Phase
Arcanine | Mymuttdog
Tauros | Imhisdad
Amoonguss | Seta
Palafin | Delfin
Chien-Pao | Astrumy
Arcanine | CaLdAbOoS
Amoonguss | Whynus
Dragonite | Vhagar
Arcanine | Grauwind
Chien-Pao | Geist
Amoonguss | Skarm
Amoonguss | Seta
Dragonite | Vhagar
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Sandy Shocks | Lust
Chi-Yu | Wrath
Annihilape | Greed
Amoonguss | Sloth
Palafin | Floa
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Palafin | Floa
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Lilligant | TT
Torkoal | Breakthrough
Tyranitar | Mr. Boombastic
Garchomp | Stargazer
Talonflame | Blazen
Brute Bonnet | Brutus
Dragonite | Vhagar
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Palafin | Delfin
Dragonite | Vhagar
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Dondozo | Gen3WaterLegendary
Flutter Mane | Itachi Rin
Dragonite | Vhagar
Flutter Mane | Dipset
Arcanine | Grauwind
Amoonguss | Skarm
Arcanine | Charlie
Kingambit | Dennis
Palafin | Mac
Palafin | Dozo
Chien-Pao | Bundle
Dragapult | Dnite
Arcanine | ChiYu
Chien-Pao | dentist hater
Arcanine | too fast
Great Tusk | charge
Ceruledge | 1000 degrees
Floatzel | Palafin's Cousin
Iron Jugulis | Juggy Baby
Garchomp | Great Chomp
Pelipper | Pelipè
Amoonguss | Seta
Palafin | Delfin
Orthworm | Dan of Steel
Gyarados | Flaccid Pancake
Breloom | Zipper Man
Ceruledge | FAAARP
Pelipper | Cano
Drednaw | Estermont
Chien-Pao | Misifu
Flutter Mane | Piruixa
Floatzel | Palafin's Cousin
Iron Jugulis | Juggy Baby
Garchomp | Great Chomp
Klefki | Gadget
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Mudsdale | Texas
Indeedee | Nevada
Hatterene | New Mexico
Corviknight | Okalahoma
Mudsdale | Texas
Dragapult | Dnite
Chien-Pao | Bundle
Flutter Mane | Mimi
Torkoal | Arizona
Flutter Mane | Utah
Indeedee | Nevada
Corviknight | Okalahoma
Flutter Mane | Loki
Palafin | INeedAHero
Ting-Lu | Satan
Tinkaton | Yaeji
Rotom | Laundry Service
Appletun | Fiona Appletun
Vivillon | Motomami
Flutter Mane | Menna
Tsareena | Shikori
Gholdengo | Dani
Ting-Lu | Tatiano
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Flutter Mane | Hairspray
Gastrodon | Squishy
Ting-Lu | Aroostook
Talonflame | MAXIMUM BIRD
Iron Moth | Silver Wing
Florges | Iron Petals
Azumarill | Raid Champion
Lycanroc | bulldog
Palafin | i need a hero
Arcanine | pug
Scream Tail | You Jokester?
Kingambit | Its Joever
Lilligant | TT
Torkoal | Breakthrough
Flutter Mane | FANCY
Great Tusk | Trouble
Polteageist | Mrs. Potts
Indeedee | Carlotta
Armarouge | King's Guard
Gastrodon | Squishy
Gyarados | LucaRossi
Ting-Lu | O'Grady
Volcarona | Faggionato
Sylveon | Silvestri
Iron Moth | Silver Wing
Florges | Iron Petals
Talonflame | Brave Bird
Azumarill | Raid Champion
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Talonflame | Brave Bird
Azumarill | Raid Champion
Garchomp | Grandpa
Volcarona | Thuggerona
Houndstone | Takeoff
Barraskewda | Gunnados
Flutter Mane | Itachi Rin
Masquerain | de Havilland
Coalossal | Armavee
Amoonguss | Toad
Flutter Mane | Jubilee
Falinks | Phalanx
Flamigo | Graciavian
Chien-Pao | Bundle
Dragapult | Dnite
Amoonguss | WoChien
Flutter Mane | Mimi
Iron Moth | Silver Wing
